Z_HS300,A1_CAPITALIN,A2_HKCapitalin,A4_NEWFUND,A5_SAVE_MKTVL,A6_ISPO,A8_Leverage_AMT,B1_Basis,B3_HS300AMT,B4_Leverage,B5_NEWINVSTOR,B6_PEG,B7_DVDM10YTRY,B8_PELevel,B9_Erating,C1_SHIBOR3M,C2_TEDSPRD,C3_AUFI,C4_ICEOIL,C5_CBOND,C6_COMMEDITY,C7_USDCNY,C8_OMO,C9_HOTMONEY
0.040816989,-258.17998,0,35.6292,-0.163926993,44.964,-0.000102652,0.016246885,0.090436611,3.65E-05,0.043777908,0.029005845,-0.2332,0.023793694,0.0011,0.02332,0.983,0.038077762,0.062859512,-0.005338559,0.085847246,-0.004463825,-5,-906.0639
-0.067243116,-764.120122,0,144.3242,-0.168630454,44.964,-7.44E-06,0.01536135,-0.007050068,-3.71E-06,0.229508158,-0.041716735,-0.0341,-0.04471324,0.0033,0.02384,0.9751,-0.000624998,-0.027851207,-0.01053479,-0.024732676,-0.005585303,-300,-906.0639
-0.034926315,-464.464327,0,75.6173,0.057634242,44.964,-0.000136231,0.020496117,-0.419973527,3.59E-05,-0.259994519,-0.041916358,0.1365,-0.058295134,0.0071,0.02824,0.8994,-0.023297057,-0.022449083,-0.000152393,-0.037226042,0.002548118,740,-906.0639
0.00502284,-224.366153,0,84.2323,-0.003140295,44.964,4.50E-05,0.005680074,-0.148391672,2.83E-05,-0.117269013,-0.028447279,-0.1271,-0.02577657,-0.0131,0.12824,0.4367,0.004155825,0.019655785,-0.003893878,-0.052404406,0.002181092,540,-906.0639
-0.011552764,-212.983912,0,50.5147,0.042903691,37.859,-0.000119109,0.005333492,-0.205632863,1.56E-05,-0.166494649,-0.019556703,0.1505,0.00057355,0.0096,0.25904,0.6697,0.028176721,0.066285246,0.002368674,0.058534834,0.000781027,380,640.3206
0.001209152,-74.227892,0,153.5975,-0.008031991,37.859,0.001170616,0.003043349,-0.06119889,3.76E-05,-0.158483683,0.004191158,-0.0179,0.002017623,0.0123,0.18954,0.9462,-0.007477544,-0.012622965,0.002058477,0.022481155,-1.50E-05,640,640.3206
0.019940426,-103.119801,0,19.5421,-0.070024797,37.859,0.000149212,0.017155864,0.182561112,4.21E-05,0.023935284,-0.006223824,0.0557,0.038078102,0.0076,0.31842,0.9961,-0.006023357,0.013386199,0.003041827,0.021373645,-0.000165169,500,640.3206
-0.019631173,-199.879939,0,95.2999,0.063997634,37.859,-0.000235351,0.010573973,-0.043313689,3.57E-05,0.0292359,-0.023021968,0.0194,-0.030491834,0.0049,0.30896,0.803,0.006548546,0.01846605,0.000834883,0.014289083,-0.003339253,260,640.3206
-0.011029458,-153.761938,0,25.2392,0.066713344,37.859,0.000761328,0.009186893,-0.184246904,5.51E-05,-0.062493306,-0.008361253,-0.0557,-0.013081434,-0.0099,0.50974,1.5562,0.024828957,0.011066297,-0.000455304,0.024468086,-0.002171979,350,640.3206
0.012188777,-35.894111,0,0,-0.047169285,23.77733333,0.000146074,0.001381913,0.314456878,-2.12E-06,-0.64358635,0.014195206,-0.0027,0.049316414,0.0019,-0.08958,1.6172,-0.03977957,-0.008288221,0.001213684,-0.02511346,0.001719872,160,-108.785
